Campaign,Ad Group,Ad ID,Final URL,Suspicious Mismatch
Google-Sa-Function-Global,API lifecycle management,782255524768,https://apidog.com/,
Google-Sa-Function-Global,API lifecycle management,804276306171,https://apidog.com/,
Google-Sa-Swagger-Global,Swagger alternative-Global,802224679177,https://apidog.com/api-doc/,[swagger not in URL]
Google-Sa-Swagger-Global,Swagger alternative-Global,811448454610,https://apidog.com/api-doc/,[swagger not in URL]
Google-Sa-Swagger-Global,Swagger alternative-Global,811555385889,https://apidog.com/api-doc/,[swagger not in URL]
Google-Sa-Postman-Global,Postman Enterprise-Global,812222465947,https://apidog.com/enterprise/,
Google-Sa-Postman-Global,Postman Enterprise-Global,812222465950,https://apidog.com/enterprise/,
Google-Sa-Postman-Global,Postman Enterprise-Global,812222465953,https://apidog.com/enterprise/,
Google-Sa-Annual Planning & New Trends-26,Annual Best Tools-26,791609507198,https://apidog.com/,
Google-Sa-Annual Planning & New Trends-26,Annual Best Tools-26,806394645545,https://apidog.com/,
Google-Sa-Annual Planning & New Trends-26,Annual Best Tools-26,811423069809,https://apidog.com/,
Google-Sa-Annual Planning & New Trends-26,Future Trends-26,791609549930,https://apidog.com/,
Google-Sa-Annual Planning & New Trends-26,Future Trends-26,806283070740,https://apidog.com/,
Google-Sa-Annual Planning & New Trends-26,Future Trends-26,811517159486,https://apidog.com/,
Google-Sa-Annual Planning & New Trends-26,Automation & Strategy -26,791609550413,https://apidog.com/api-testing/,
Google-Sa-Annual Planning & New Trends-26,Automation & Strategy -26,791609560307,https://apidog.com/api-testing/,
Google-Sa-Annual Planning & New Trends-26,Automation & Strategy -26,811517166887,https://apidog.com/api-testing/,
Google-Sa-Scalar-Global,Scalar-Global,806283068040,https://apidog.com/,
Google-Sa-Scalar-Global,Scalar-Global,806283068043,https://apidog.com/,
Google-Sa-Scalar-Global,Scalar-Global,811420603668,https://apidog.com/,
Google-Sa-Function-Global,Ai Test Case-Global,780207493878,https://apidog.com/ai-powered-workflow/,[test not in URL]
Google-Sa-Mintlify-Global,Mintlify--Global,786645030174,https://apidog.com/compare/apidog-vs-mintlify/?utm_source=google_search&utm_medium=ads_sa&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword},
Google-Sa-Mintlify-Global,Mintlify--Global,786770925743,https://apidog.com/compare/apidog-vs-mintlify/?utm_source=google_search&utm_medium=ads_sa&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword},
Google-Sa-Mintlify-Global,Mintlify--Global,804312143950,https://apidog.com/compare/apidog-vs-mintlify/?utm_source=google_search&utm_medium=ads_sa&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword},
Google-Sa-Jmeter-Global,API-Performance-Ease-Global,806283071034,https://apidog.com/,
Google-Sa-Jmeter-Global,API-Performance-Ease-Global,806283071037,https://apidog.com/,
Google-Sa-Jmeter-Global,API-Performance-Ease-Global,811448596237,https://apidog.com/,
Google-Sa-RapidAPI-Global,RapidAPI--Global,806385179454,https://apidog.com/compare/apidog-vs-rapidapi/,
Google-Sa-RapidAPI-Global,RapidAPI--Global,806402664635,https://apidog.com/compare/apidog-vs-rapidapi/,
Google-Sa-RapidAPI-Global,RapidAPI--Global,811420519623,https://apidog.com/compare/apidog-vs-rapidapi/,
Google-Sa-Insomnia-Global,Insomnia-Features--Global,802159097418,https://apidog.com/compare/apidog-vs-insomnia/,
Google-Sa-Insomnia-Global,Insomnia-Features--Global,802171120545,https://apidog.com/compare/apidog-vs-insomnia/,
Google-Sa-Insomnia-Global,Insomnia-Features--Global,811566702652,https://apidog.com/compare/apidog-vs-insomnia/,
Google-Sa-Testing-Global,Automated api testing-Global,811506256955,https://apidog.com/api-testing/,
Google-Sa-Testing-Global,Automated api testing-Global,811571487571,https://apidog.com/api-testing/,
Google-Sa-Testing-Global,Automated api testing-Global,811571487574,https://apidog.com/api-testing/,
Google-Sa-Function-Global,OpenAPI Linter,804276316785,https://apidog.com/,
Google-Sa-Function-Global,AI JSON Schema Generator,787635397815,https://apidog.com/ai-powered-workflow/,
Google-Sa-Function-Global,AI JSON Schema Generator,804389324381,https://apidog.com/ai-powered-workflow/,
Google-Sa-Function-Global,AI JSON Schema Generator,804389885471,https://apidog.com/ai-powered-workflow/,
Google-Sa-API Editor-Global,No-Code & Builder-Global,811451131873,https://apidog.com/api-doc/?utm_source=google_search&utm_medium=ads_sa&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword},
Google-Sa-API Editor-Global,Online & Team--Global,788821183343,https://apidog.com/api-design/?utm_source=google_search&utm_medium=ads_sa&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword},
Google-Sa-API Editor-Global,Online & Team--Global,788821185551,https://apidog.com/?utm_source=google_search&utm_medium=ads_sa&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword},
Google-Sa-API Editor-Global,Online & Team--Global,804275993889,https://apidog.com/?utm_source=google_search&utm_medium=ads_sa&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword},
Google-Sa-API Editor-Global,General Visual Editor--Global,788735950933,https://apidog.com/api-doc/?utm_source=google_search&utm_medium=ads_sa&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword},
Google-Sa-Function-Global,API Collaboration,782213820954,https://apidog.com/solutions/api-collaboration/,
Google-Sa-Function-Global,API Collaboration,782245072276,https://apidog.com/solutions/api-collaboration/,
Google-Sa-Enterprise-Global,Enterprise ROI & Migration,803337161917,https://apidog.com/enterprise/?utm_source=google_search&utm_medium=ads_sa&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword},
Google-Sa-Enterprise-Global,Enterprise ROI & Migration,811517269385,https://apidog.com/enterprise/?utm_source=google_search&utm_medium=ads_sa&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword},
Google-Sa-Postman-Global,Postman Offline-Global,812209800162,https://apidog.com/compare/apidog-vs-postman/,
Google-Sa-Postman-Global,Postman Offline-Global,812209800165,https://apidog.com/compare/apidog-vs-postman/,
Google-Sa-Postman-Global,Postman Offline-Global,812209800168,https://apidog.com/compare/apidog-vs-postman/,
Google-Sa-Solutions-Multi-Protocol-Global,Advanced Debugging,811448706412,https://apidog.com/api-debugging/,
Google-Sa-Solutions-Multi-Protocol-Global,Advanced Debugging,811645986620,https://apidog.com/api-debugging/,
Google-Sa-Solutions-Multi-Protocol-Global,Advanced Debugging,811645986623,https://apidog.com/api-debugging/,
Google-Sa-Enterprise-Global,"Security, SSO & RBAC",803411520614,https://apidog.com/enterprise/?utm_source=google_search&utm_medium=ads_sa&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword},
Google-Sa-Fern-Global,Fern-Global,790339788600,https://apidog.com/?utm_source=google_search&utm_medium=ads_sa&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword},
Google-Sa-Fern-Global,Fern-Global,790459738073,https://apidog.com/?utm_source=google_search&utm_medium=ads_sa&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword},
